Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
seg1[3]_reg_p_D_OAI21X0P5H7L_Y_A1_OAI21X0P5H7L_Y,1.2,2.661e-06,0.000e+00,7.118e-10,2.662e-06
gpr[1]_2__XOR2X0P5H7L_B_Y_NOR3X0P5H7L_A,1.2,2.658e-06,0.000e+00,4.861e-10,2.659e-06
seg0[5]_reg_p_D_OAI31X0P5H7L_Y_B0_NAND2BX0P5H7L_Y,1.2,2.439e-06,0.000e+00,1.221e-09,2.440e-06
seg1[6]_reg_p_D_OAI2BB1X0P5H7L_Y_B0_OAI21X0P5H7L_Y,1.2,2.431e-06,0.000e+00,6.878e-10,2.432e-06
seg1[2]_reg_p_D_OAI22X0P5H7L_Y_B0_AOI21X0P5H7L_Y_B0_AOI2BB1X0P5H7L_Y,1.2,2.428e-06,0.000e+00,1.675e-09,2.429e-06
gpr[1]_3__MUX4X1P4H7L_B_Y_XNOR2X0P7H7L_B_Y_NOR4X6H7L_B_D_AOI21X0P7H7L_Y,1.2,2.363e-06,0.000e+00,8.705e-10,2.364e-06
seg1[5]_reg_p_D_OAI21X0P5H7L_Y_A0_OR2X1P4H7L_Y,1.2,2.182e-06,0.000e+00,1.782e-09,2.184e-06
seg1[1]_reg_p_D_OAI31X0P5H7L_Y_B0_OAI21X0P5H7L_Y,1.2,2.086e-06,0.000e+00,6.497e-10,2.087e-06
gpr[0]_0__reg_p_D_OAI21X0P5H7L_Y,1.2,2.021e-06,0.000e+00,7.130e-10,2.022e-06
gpr[1]_2__MUX4X3H7L_B_Y_BUFX8H7L_A,1.2,1.968e-06,0.000e+00,5.493e-09,1.974e-06
seg0[3]_reg_p_D_OAI22X0P5H7L_Y_B0_AOI21X0P5H7L_Y,1.2,1.838e-06,0.000e+00,8.192e-10,1.838e-06
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_XNOR2X1H7L_A_B_OAI31X1H7L_Y_B0_OR2X0P5H7L_Y,1.2,1.798e-06,0.000e+00,1.574e-09,1.799e-06
seg0[6]_reg_p_D_AOAI211X0P5H7L_Y_C0_NAND2X0P5H7L_Y,1.2,1.643e-06,0.000e+00,5.569e-10,1.644e-06
gpr[1]_3__MUX4X3H7L_B_Y_BUFX7H7L_A,1.2,1.587e-06,0.000e+00,4.733e-09,1.592e-06
