* 30f5cf2	(2026-02-19 12:20:24 +0800) 上一个貌似是没有问题的
| * 0df7587	(2026-02-19 11:17:43 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:17:43 up  3:43,  1 user,  load average: 0.19, 0.38, 0.38
| * 65ce435	(2026-02-19 11:17:43 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:17:43 up  3:43,  1 user,  load average: 0.19, 0.38, 0.38
| * cf656f0	(2026-02-19 11:16:44 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:16:44 up  3:42,  1 user,  load average: 0.35, 0.44, 0.39
| * 07b0817	(2026-02-19 11:16:44 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:16:44 up  3:42,  1 user,  load average: 0.35, 0.44, 0.39
| * d631f89	(2026-02-19 11:15:36 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:15:36 up  3:41,  1 user,  load average: 0.69, 0.50, 0.41
| * a395496	(2026-02-19 11:15:36 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:15:36 up  3:41,  1 user,  load average: 0.48, 0.46, 0.40
| * be5c28d	(2026-02-19 11:14:59 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:14:59 up  3:40,  1 user,  load average: 0.68, 0.48, 0.40
| * ee38fbf	(2026-02-19 11:14:59 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:14:59 up  3:40,  1 user,  load average: 0.68, 0.48, 0.40
| * efef237	(2026-02-19 11:14:26 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:14:26 up  3:40,  1 user,  load average: 0.89, 0.49, 0.40
| * e6adb45	(2026-02-19 11:14:26 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:14:26 up  3:40,  1 user,  load average: 0.89, 0.49, 0.40
| * 34d93d2	(2026-02-19 11:14:01 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:14:01 up  3:39,  1 user,  load average: 0.40, 0.38, 0.37
| * 0e3d81e	(2026-02-19 11:14:01 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:14:01 up  3:39,  1 user,  load average: 0.40, 0.38, 0.37
| * f443ff3	(2026-02-19 11:13:28 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:13:28 up  3:39,  1 user,  load average: 0.49, 0.39, 0.37
| * 2d5ef30	(2026-02-19 11:13:28 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:13:28 up  3:39,  1 user,  load average: 0.44, 0.37, 0.37
| * a18cef5	(2026-02-19 11:12:36 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:12:36 up  3:38,  1 user,  load average: 0.65, 0.38, 0.37
| * f793150	(2026-02-19 11:12:36 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:12:36 up  3:38,  1 user,  load average: 0.65, 0.38, 0.37
