Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
segT0[6]_reg_p,1.2,3.968e-06,0.000e+00,6.513e-09,3.974e-06
segT0[7]_reg_p,1.2,3.968e-06,0.000e+00,6.354e-09,3.974e-06
segT1[4]_reg_p,1.2,3.968e-06,0.000e+00,6.218e-09,3.974e-06
segT0[2]_reg_p,1.2,3.968e-06,0.000e+00,6.215e-09,3.974e-06
fifo[0]_7__reg_p,1.2,3.967e-06,0.000e+00,6.316e-09,3.974e-06
count_3__reg_p,1.2,3.966e-06,0.000e+00,6.596e-09,3.972e-06
buffer_0__reg_p,1.2,3.964e-06,0.000e+00,6.602e-09,3.971e-06
over_reg_p,1.2,3.964e-06,0.000e+00,6.085e-09,3.971e-06
fifo[0]_4__reg_p,1.2,3.963e-06,0.000e+00,6.343e-09,3.969e-06
fifo[0]_6__reg_p,1.2,3.963e-06,0.000e+00,6.319e-09,3.969e-06
fifo[0]_3__reg_p,1.2,3.963e-06,0.000e+00,6.317e-09,3.969e-06
fifo[0]_0__reg_p,1.2,3.963e-06,0.000e+00,6.315e-09,3.969e-06
fifo[0]_2__reg_p,1.2,3.963e-06,0.000e+00,6.314e-09,3.969e-06
fifo[1]_4__reg_p,1.2,3.963e-06,0.000e+00,6.343e-09,3.969e-06
fifo[1]_6__reg_p,1.2,3.963e-06,0.000e+00,6.319e-09,3.969e-06
fifo[1]_3__reg_p,1.2,3.963e-06,0.000e+00,6.317e-09,3.969e-06
fifo[1]_0__reg_p,1.2,3.963e-06,0.000e+00,6.315e-09,3.969e-06
fifo[1]_2__reg_p,1.2,3.963e-06,0.000e+00,6.314e-09,3.969e-06
fifo[1]_7__reg_p,1.2,3.963e-06,0.000e+00,6.316e-09,3.969e-06
fifo[1]_5__reg_p,1.2,3.961e-06,0.000e+00,6.327e-09,3.967e-06
fifo[1]_1__reg_p,1.2,3.961e-06,0.000e+00,6.314e-09,3.967e-06
fifo[0]_5__reg_p,1.2,3.961e-06,0.000e+00,6.327e-09,3.967e-06
fifo[0]_1__reg_p,1.2,3.961e-06,0.000e+00,6.314e-09,3.967e-06
segT1[4]_reg_p_D_OA211X4H7L_Y_B0_NAND2X0P5H7L_Y,1.2,3.867e-06,0.000e+00,5.547e-10,3.868e-06
over_reg_p_D_NOR4X0P5H7L_Y_C_NOR2X0P5H7L_A_Y_NOR3X1H7L_B,1.2,3.641e-06,0.000e+00,7.161e-10,3.642e-06
